ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
203300_x_at	2.96E-09	2.85E-11	-7.7977566	15.415731	-3.16941493	AP1S2	adaptor related protein complex 1 sigma 2 subunit
230863_at	1.17E-04	1.04E-05	-4.726261	3.022452	-3.15827799	LRP2	LDL receptor related protein 2
219584_at	7.90E-06	3.98E-07	-5.5571482	6.161058	-3.1418555	PLA1A	phospholipase A1 member A
237651_x_at	4.98E-08	8.90E-10	-7.0076673	12.072168	-3.13040242	LINC00518	long intergenic non-protein coding RNA 518
1552394_a_at	2.06E-05	1.27E-06	-5.2685732	5.044415	-3.1131946	ENTHD1	ENTH domain containing 1
210467_x_at	1.04E-03	1.45E-04	-4.0030714	0.518017	-3.10218413	MAGEA12	MAGE family member A12
214603_at	7.27E-04	9.41E-05	-4.1270464	0.929495	-3.09292736	MAGEA2B///MAGEA2	MAGE family member A2B///MAGE family member A2
210329_s_at	4.69E-09	5.07E-11	-7.6665553	14.857441	-3.08847642	SGCD	sarcoglycan delta
210138_at	1.75E-09	1.45E-11	-7.9530317	16.077458	-3.08740879	RGS20	regulator of G-protein signaling 20
206701_x_at	4.76E-11	1.41E-13	-9.0074291	20.579403	-3.05552737	EDNRB	endothelin receptor type B
211470_s_at	9.49E-06	4.97E-07	-5.5019076	5.945358	-3.05091294	SULT1C2	sulfotransferase family 1C member 2
221577_x_at	6.36E-06	3.05E-07	-5.6220861	6.415738	-3.02024934	GDF15	growth differentiation factor 15
232263_at	5.02E-08	9.00E-10	-7.005025	12.061081	-3.01406797	SLC6A15	solute carrier family 6 member 15
205234_at	7.39E-12	1.19E-14	-9.5737044	22.986933	-2.98548433	SLC16A4	solute carrier family 16 member 4
236972_at	2.28E-07	5.52E-09	-6.5824538	10.29954	-2.97950554	TRIM63	tripartite motif containing 63
205242_at	6.02E-05	4.70E-06	-4.9346109	3.786375	-2.97016062	CXCL13	C-X-C motif chemokine ligand 13
219637_at	5.02E-10	2.85E-12	-8.3233613	17.658448	-2.95577481	ARMC9	armadillo repeat containing 9
214492_at	1.15E-09	8.50E-12	-8.0742154	16.594478	-2.94736799	SGCD	sarcoglycan delta
219926_at	1.41E-06	4.96E-08	-6.0628307	8.173307	-2.92765365	POPDC3	popeye domain containing 3
1569403_at	6.47E-06	3.12E-07	-5.616753	6.394777	-2.91840667	LOC101928716	uncharacterized LOC101928716
210964_s_at	2.46E-07	6.05E-09	-6.5609482	10.210581	-2.9104599	GYG2	glycogenin 2
206376_at	6.05E-06	2.86E-07	-5.6379923	6.4783	-2.90787118	SLC6A15	solute carrier family 6 member 15
210198_s_at	2.02E-08	3.00E-10	-7.2584279	13.127768	-2.90460929	PLP1	proteolipid protein 1
224965_at	2.82E-09	2.63E-11	-7.8163031	15.494718	-2.89773676	GNG2	G protein subunit gamma 2
209843_s_at	4.34E-09	4.61E-11	-7.6880211	14.948722	-2.89127081	SOX10	SRY-box 10
206898_at	6.43E-06	3.09E-07	-5.6189491	6.403408	-2.88740944	CDH19	cadherin 19
202479_s_at	2.47E-13	1.90E-16	-10.5292181	27.003384	-2.88431089	TRIB2	tribbles pseudokinase 2
231666_at	4.90E-13	4.51E-16	-10.3283238	26.16498	-2.87651914	PAX3	paired box 3
213712_at	2.50E-05	1.61E-06	-5.2075853	4.81179	-2.86386468	ELOVL2	ELOVL fatty acid elongase 2
220167_s_at	1.28E-06	4.39E-08	-6.0916716	8.289922	-2.86244882	TP53TG3B///TP53TG3D///TP53TG3C///TP53TG3	TP53 target 3B///TP53 target 3D///TP53 target 3C///TP53 target 3
223786_at	9.30E-09	1.15E-10	-7.4780583	14.057077	-2.85936942	CHST6	carbohydrate sulfotransferase 6
235401_s_at	2.08E-05	1.28E-06	-5.2662452	5.035513	-2.8549301	FCRLA	Fc receptor like A
207144_s_at	1.56E-07	3.50E-09	-6.6892895	10.742536	-2.8520761	CITED1	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1
229360_at	7.24E-10	4.67E-12	-8.2105212	17.176445	-2.849029	ZNF280B	zinc finger protein 280B
242546_at	2.60E-06	1.03E-07	-5.8861449	7.462996	-2.84847183	LINC01296///DUXAP10	long intergenic non-protein coding RNA 1296///double homeobox A pseudogene 10
239352_at	1.77E-07	4.06E-09	-6.654746	10.599111	-2.84217933	SLC6A15	solute carrier family 6 member 15
242881_x_at	6.39E-07	1.93E-08	-6.287312	9.085568	-2.83298242	DUXAP10	double homeobox A pseudogene 10
232195_at	2.35E-06	9.16E-08	-5.9152517	7.57951	-2.83129374	GPR158	G protein-coupled receptor 158
205334_at	1.42E-06	5.00E-08	-6.0608703	8.165387	-2.82354326	S100A1	S100 calcium binding protein A1
218404_at	8.91E-12	1.57E-14	-9.5093554	22.714148	-2.81686225	SNX10	sorting nexin 10
238621_at	1.98E-07	4.63E-09	-6.623891	10.471152	-2.81109323	FMN1	formin 1
210330_at	3.32E-09	3.32E-11	-7.7632326	15.268741	-2.79836091	SGCD	sarcoglycan delta
242465_at	3.36E-09	3.36E-11	-7.7604232	15.256783	-2.7873089	GAPLINC	"gastric adenocarcinoma associated, positive CD44 regulator, long intergenic non-coding RNA"
214841_at	4.72E-06	2.12E-07	-5.7116649	6.768967	-2.75954353	CNIH3	cornichon family AMPA receptor auxiliary protein 3
203167_at	6.13E-12	9.36E-15	-9.6287452	23.220066	-2.7550715	TIMP2	TIMP metallopeptidase inhibitor 2
230789_at	5.12E-11	1.55E-13	-8.9859528	20.487836	-2.73861923	ZNF280B	zinc finger protein 280B
1555766_a_at	1.57E-08	2.19E-10	-7.3307405	13.433302	-2.72875854	GNG2	G protein subunit gamma 2
210963_s_at	8.22E-06	4.18E-07	-5.544605	6.112003	-2.72782475	GYG2	glycogenin 2
204466_s_at	4.29E-11	1.22E-13	-9.0420323	20.726905	-2.72014561	SNCA	synuclein alpha
1570156_s_at	4.31E-08	7.43E-10	-7.0494306	12.247516	-2.71377654	FMN1	formin 1
219464_at	1.50E-05	8.64E-07	-5.3646804	5.413449	-2.70053796	CA14	carbonic anhydrase 14
228116_at	5.50E-08	1.00E-09	-6.980452	11.95801	-2.69922762	LINC01296///DUXAP10///DUXAP8	long intergenic non-protein coding RNA 1296///double homeobox A pseudogene 10///double homeobox A pseudogene 8
1558404_at	5.46E-09	6.08E-11	-7.6247094	14.679572	-2.68867798	LINC00622	long intergenic non-protein coding RNA 622
235486_at	1.02E-10	3.79E-13	-8.7828909	19.621426	-2.68849896	KIAA1549L	KIAA1549 like
222771_s_at	4.32E-12	6.07E-15	-9.7281009	23.64043	-2.68391538	MYEF2	myelin expression factor 2
227080_at	8.46E-12	1.46E-14	-9.5270694	22.789264	-2.68112709	ZNF697	zinc finger protein 697
209686_at	5.00E-08	8.95E-10	-7.0062989	12.066426	-2.67759127	S100B	S100 calcium binding protein B
242455_at	1.97E-05	1.20E-06	-5.2826439	5.098258	-2.66229418	POU3F2	POU class 3 homeobox 2
237737_at	7.49E-05	6.07E-06	-4.8679147	3.539984	-2.65895077	LOC101927345///LOC101060632///LOC101059949///ANKRD20A12P	"putative ankyrin repeat domain-containing protein 20A12 pseudogene///uncharacterized gene LOC101060632///putative ankyrin repeat domain-containing protein 20A12 pseudogene///ankyrin repeat domain 20 family member A12, pseudogene"
203820_s_at	2.16E-07	5.14E-09	-6.5992537	10.369084	-2.65452201	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3
241612_at	7.09E-10	4.52E-12	-8.2182516	17.209461	-2.65161363	FOXD3	forkhead box D3
207183_at	8.20E-11	2.89E-13	-8.844576	19.884728	-2.65073502	GPR19	G protein-coupled receptor 19
214023_x_at	2.79E-09	2.60E-11	-7.8194084	15.507944	-2.64656984	TUBB2B	tubulin beta 2B class IIb
1553830_s_at	7.78E-04	1.02E-04	-4.1046736	0.854653	-2.63657965	MAGEA2B///MAGEA2	MAGE family member A2B///MAGE family member A2
205114_s_at	7.27E-08	1.39E-09	-6.9039087	11.63741	-2.62816952	CCL3L3///CCL3L1///CCL3	C-C motif chemokine ligand 3 like 3///C-C motif chemokine ligand 3 like 1///C-C motif chemokine ligand 3
209842_at	7.09E-09	8.23E-11	-7.5556729	14.386356	-2.62784416	SOX10	SRY-box 10
204467_s_at	2.03E-10	9.36E-13	-8.5767139	18.740881	-2.62619954	SNCA	synuclein alpha
203348_s_at	9.60E-09	1.21E-10	-7.466855	14.009582	-2.62132542	ETV5	ETS variant 5
240419_at	3.57E-07	9.56E-09	-6.4535369	9.76741	-2.5992914	SLC6A15	solute carrier family 6 member 15
222900_at	3.57E-08	5.91E-10	-7.1023454	12.469959	-2.5944105	NRIP3	nuclear receptor interacting protein 3
1569072_s_at	7.03E-04	9.02E-05	-4.1389154	0.969302	-2.59402402	ABCB5	ATP binding cassette subfamily B member 5
204533_at	1.13E-03	1.60E-04	-3.9753292	0.427039	-2.59304625	CXCL10	C-X-C motif chemokine ligand 10
216513_at	3.92E-04	4.46E-05	-4.3349908	1.636999	-2.58821542	DCT	dopachrome tautomerase
228873_at	4.96E-04	5.89E-05	-4.2580195	1.372654	-2.58038372	COL22A1	collagen type XXII alpha 1 chain
236523_at	2.35E-06	9.13E-08	-5.9159432	7.582281	-2.57716181	LOC285556	uncharacterized LOC285556
226368_at	2.21E-10	1.04E-12	-8.5525241	18.637539	-2.57632716	CHST11	carbohydrate (chondroitin 4) sulfotransferase 11
229073_at	5.12E-07	1.48E-08	-6.3508103	9.345435	-2.57324528	PRTG	protogenin
236681_at	2.25E-05	1.42E-06	-5.2394142	4.933041	-2.57261112	HOXD13	homeobox D13
212909_at	2.09E-06	7.86E-08	-5.952219	7.72778	-2.5704847	LYPD1	LY6/PLAUR domain containing 1
206630_at	3.80E-05	2.68E-06	-5.0789486	4.32527	-2.57023351	TYR	tyrosinase
204779_s_at	6.83E-05	5.45E-06	-4.8961833	3.644207	-2.56126563	HOXB7	homeobox B7
207323_s_at	1.47E-05	8.39E-07	-5.3719085	5.441323	-2.56029496	MBP	myelin basic protein
205954_at	1.13E-04	1.00E-05	-4.7364336	3.05935	-2.55883902	RXRG	retinoid X receptor gamma
203390_s_at	7.10E-11	2.41E-13	-8.8854253	20.059045	-2.55498008	KIF3C	kinesin family member 3C
220116_at	8.09E-05	6.65E-06	-4.844171	3.452682	-2.55116174	KCNN2	potassium calcium-activated channel subfamily N member 2
238422_at	3.41E-08	5.58E-10	-7.1155915	12.52569	-2.54454283	LBX2-AS1	LBX2 antisense RNA 1
202185_at	1.42E-13	1.03E-16	-10.6724887	27.599051	-2.54316544	PLOD3	"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"
204187_at	5.51E-07	1.62E-08	-6.3291784	9.256821	-2.53531081	GMPR	guanosine monophosphate reductase
220062_s_at	7.78E-03	1.69E-03	-3.257269	-1.774805	-2.5348188	MAGEC2	MAGE family member C2
209072_at	2.38E-05	1.52E-06	-5.2227448	4.869497	-2.53230598	MBP	myelin basic protein
237187_at	1.77E-04	1.73E-05	-4.5913135	2.537053	-2.52615788	HRK	"harakiri, BCL2 interacting protein"
205862_at	6.38E-10	3.96E-12	-8.2482542	17.337606	-2.52305437	GREB1	growth regulation by estrogen in breast cancer 1
232010_at	1.17E-03	1.67E-04	-3.9633063	0.387738	-2.5215842	FSTL5	follistatin like 5
208600_s_at	4.20E-06	1.84E-07	-5.7455358	6.903086	-2.51686218	GPR39	G protein-coupled receptor 39
205893_at	8.65E-06	4.44E-07	-5.529961	6.054788	-2.5108709	NLGN1	neuroligin 1
236081_at	6.05E-08	1.12E-09	-6.9549251	11.851013	-2.51040627	SNCA	synuclein alpha
226433_at	1.28E-09	9.63E-12	-8.045606	16.472381	-2.50725569	RNF157	ring finger protein 157
221489_s_at	9.41E-07	3.08E-08	-6.1765288	8.634064	-2.50549361	SPRY4	sprouty RTK signaling antagonist 4
1556798_a_at	2.76E-06	1.11E-07	-5.8690888	7.394816	-2.49687484	RNF144A-AS1	RNF144A antisense RNA 1
216973_s_at	9.24E-05	7.87E-06	-4.8004679	3.292571	-2.49269845	HOXB7	homeobox B7
202986_at	2.04E-09	1.77E-11	-7.9072075	15.882075	-2.49230954	ARNT2	aryl hydrocarbon receptor nuclear translocator 2
220445_s_at	1.40E-03	2.09E-04	-3.8973369	0.173476	-2.48640263	CSAG2///CSAG3	CSAG family member 2///CSAG family member 3
231361_at	5.42E-06	2.50E-07	-5.6714403	6.610083	-2.48052175	NLGN1	neuroligin 1
207233_s_at	2.08E-07	4.92E-09	-6.609506	10.411546	-2.47665957	MITF	melanogenesis associated transcription factor
235777_at	2.91E-09	2.76E-11	-7.8050499	15.446791	-2.47109792	ANKRD44	ankyrin repeat domain 44
243362_s_at	1.63E-06	5.83E-08	-6.0239211	8.01627	-2.46809431	LEF1-AS1	LEF1 antisense RNA 1
202975_s_at	1.16E-07	2.44E-09	-6.773111	11.091287	-2.46785356	RHOBTB3	Rho related BTB domain containing 3
229363_at	1.51E-06	5.36E-08	-6.0442054	8.098094	-2.45852643	LINC00920	long intergenic non-protein coding RNA 920
205306_x_at	6.68E-07	2.04E-08	-6.2739502	9.030983	-2.44043885	KMO	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)
241386_at	8.80E-06	4.54E-07	-5.5247031	6.034261	-2.4399552	LOC100506691	uncharacterized LOC100506691
206999_at	3.62E-06	1.54E-07	-5.7890488	7.075823	-2.43945536	IL12RB2	interleukin 12 receptor subunit beta 2
216874_at	4.60E-05	3.38E-06	-5.0191719	4.101167	-2.43738058	LOC100505498	uncharacterized LOC100505498
235696_at	2.70E-04	2.87E-05	-4.4553471	2.055922	-2.43155512	LOC105379362	uncharacterized LOC105379362
229860_x_at	2.27E-13	1.70E-16	-10.5557744	27.11394	-2.41793364	C4orf48	chromosome 4 open reading frame 48
226372_at	2.49E-11	5.98E-14	-9.2037945	21.415875	-2.41636217	CHST11	carbohydrate (chondroitin 4) sulfotransferase 11
211138_s_at	4.08E-07	1.13E-08	-6.4146946	9.607634	-2.41542095	KMO	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)
213543_at	3.94E-07	1.08E-08	-6.4248807	9.649508	-2.4134234	SGCD	sarcoglycan delta
230272_at	1.77E-06	6.44E-08	-6.0000166	7.919961	-2.40819289	LINC00461///MIR9-2	long intergenic non-protein coding RNA 461///microRNA 9-2
203819_s_at	2.39E-05	1.53E-06	-5.2208643	4.862335	-2.40522607	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3
1554020_at	5.40E-10	3.15E-12	-8.300004	17.558664	-2.40491927	BICD1	BICD cargo adaptor 1
209848_s_at	1.28E-04	1.16E-05	-4.6984051	2.921633	-2.39898122	PMEL	premelanosome protein
235238_at	1.21E-05	6.63E-07	-5.4305284	5.667971	-2.39553261	SHC4	SHC adaptor protein 4
209883_at	5.24E-06	2.40E-07	-5.6813718	6.649271	-2.39349952	COLGALT2	collagen beta(1-O)galactosyltransferase 2
229552_at	1.19E-05	6.50E-07	-5.4356928	5.687989	-2.39113208	LOC283454///HRK	"uncharacterized LOC283454///harakiri, BCL2 interacting protein"
219634_at	3.26E-09	3.22E-11	-7.7703908	15.299214	-2.38945947	CHST11	carbohydrate (chondroitin 4) sulfotransferase 11
235639_at	2.98E-05	2.01E-06	-5.1525739	4.603032	-2.38108648	CDH19	cadherin 19
228581_at	3.76E-04	4.25E-05	-4.3482087	1.682677	-2.37621118	KCNJ10	potassium voltage-gated channel subfamily J member 10
230730_at	8.10E-07	2.57E-08	-6.2195962	8.809297	-2.37460443	SGCD	sarcoglycan delta
204271_s_at	8.46E-12	1.44E-14	-9.5303128	22.803015	-2.37388145	EDNRB	endothelin receptor type B
1569100_a_at	7.82E-04	1.03E-04	-4.1024469	0.847218	-2.36965444	LOC101929450	uncharacterized LOC101929450
217553_at	2.12E-06	8.02E-08	-5.9472899	7.707992	-2.36754592	STEAP1B	STEAP family member 1B
238452_at	3.12E-10	1.62E-12	-8.4524243	18.209864	-2.3592716	FCRLB	Fc receptor like B
205342_s_at	1.56E-04	1.49E-05	-4.6324219	2.684105	-2.35785558	SULT1C2	sulfotransferase family 1C member 2
228699_at	1.45E-08	1.99E-10	-7.352542	13.525506	-2.35155517	NRP2	neuropilin 2
202988_s_at	4.86E-05	3.61E-06	-5.0027826	4.039949	-2.3499179	RGS1	regulator of G-protein signaling 1
1553938_a_at	1.19E-05	6.50E-07	-5.4354685	5.687119	-2.34514177	STK32A	serine/threonine kinase 32A
203304_at	1.21E-08	1.61E-10	-7.4022325	13.735803	-2.34459113	BAMBI	BMP and activin membrane bound inhibitor
231182_at	7.70E-10	5.15E-12	-8.1884816	17.082321	-2.34345953	WIPF1	WAS/WASL interacting protein family member 1
1569470_a_at	7.23E-07	2.24E-08	-6.2524713	8.943311	-2.34121151	FRMD5	FERM domain containing 5
219636_s_at	1.68E-10	7.42E-13	-8.6296963	18.967213	-2.33994219	ARMC9	armadillo repeat containing 9
230568_x_at	7.80E-08	1.51E-09	-6.885763	11.561513	-2.33918442	DLL3	delta like canonical Notch ligand 3
204273_at	1.15E-11	2.18E-14	-9.4352433	22.399691	-2.33876754	EDNRB	endothelin receptor type B
202638_s_at	1.70E-07	3.87E-09	-6.6655197	10.643824	-2.33184261	ICAM1	intercellular adhesion molecule 1
205373_at	6.57E-07	2.00E-08	-6.279564	9.053912	-2.32995625	CTNNA2	catenin alpha 2
229178_at	6.32E-06	3.03E-07	-5.6239925	6.423232	-2.32243218	PRTG	protogenin
225566_at	1.79E-09	1.50E-11	-7.9441327	16.039509	-2.32057863	NRP2	neuropilin 2
214896_at	1.05E-04	9.19E-06	-4.7595375	3.143306	-2.31990551	LINC01314	long intergenic non-protein coding RNA 1314
229152_at	7.05E-03	1.50E-03	-3.2962693	-1.66331	-2.31916875	FDCSP	follicular dendritic cell secreted protein
241224_x_at	2.07E-02	5.66E-03	-2.8484685	-2.881718	-2.3151661	DSCR8	Down syndrome critical region 8
1554443_s_at	8.02E-09	9.58E-11	-7.5208706	14.238657	-2.31406581	BEST1	bestrophin 1
209598_at	9.23E-05	7.84E-06	-4.8011858	3.295195	-2.31284445	PNMA2	paraneoplastic Ma antigen 2
206626_x_at	3.80E-03	7.03E-04	-3.5346299	-0.960849	-2.31212412	SSX1	SSX family member 1
1555292_at	1.07E-07	2.21E-09	-6.7961169	11.187179	-2.31182685	STRIP2	striatin interacting protein 2
206513_at	6.76E-04	8.60E-05	-4.152322	1.014351	-2.30913716	AIM2	absent in melanoma 2
217867_x_at	2.32E-09	2.06E-11	-7.8725311	15.734274	-2.3078397	BACE2	beta-site APP-cleaving enzyme 2
214632_at	8.68E-09	1.06E-10	-7.4974223	14.13919	-2.30483043	NRP2	neuropilin 2
216512_s_at	2.95E-03	5.16E-04	-3.6289071	-0.673361	-2.3022566	DCT	dopachrome tautomerase
239010_at	9.53E-06	5.00E-07	-5.5005132	5.939925	-2.30190614	DUXAP10	double homeobox A pseudogene 10
219282_s_at	3.78E-09	3.90E-11	-7.7264397	15.112154	-2.30073739	TRPV2	transient receptor potential cation channel subfamily V member 2
204470_at	4.29E-05	3.10E-06	-5.0412381	4.183743	-2.29748473	CXCL1	C-X-C motif chemokine ligand 1
204562_at	4.04E-06	1.76E-07	-5.7565629	6.946815	-2.29742391	IRF4	interferon regulatory factor 4
207827_x_at	6.24E-07	1.88E-08	-6.2933624	9.110297	-2.29683913	SNCA	synuclein alpha
207116_s_at	2.15E-05	1.34E-06	-5.2546786	4.991309	-2.29484823	GAPDHS	"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic"
217996_at	2.90E-09	2.73E-11	-7.8076018	15.457659	-2.29287069	PHLDA1	pleckstrin homology like domain family A member 1
221911_at	6.24E-06	2.97E-07	-5.6286645	6.441603	-2.29042096	ETV1	ETS variant 1
212746_s_at	4.41E-09	4.69E-11	-7.6842188	14.932552	-2.28930615	CEP170P1///CEP170	centrosomal protein 170 pseudogene 1///centrosomal protein 170
223741_s_at	1.60E-10	6.95E-13	-8.6444201	19.030106	-2.28473405	TTYH2	tweety family member 2
216034_at	7.28E-04	9.42E-05	-4.1266424	0.928141	-2.28406187	ZNF280A	zinc finger protein 280A
214511_x_at	2.21E-06	8.44E-08	-5.9348733	7.658169	-2.28210611	FCGR1B	Fc fragment of IgG receptor Ib
200628_s_at	4.72E-09	5.14E-11	-7.6634989	14.844447	-2.2805974	WARS	tryptophanyl-tRNA synthetase
204995_at	7.17E-11	2.45E-13	-8.8817009	20.043153	-2.27692601	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1
205299_s_at	1.07E-08	1.40E-10	-7.4341476	13.870975	-2.2748949	BTN2A2	butyrophilin subfamily 2 member A2
205673_s_at	1.25E-08	1.67E-10	-7.3926607	13.695279	-2.27092579	ASB9	ankyrin repeat and SOCS box containing 9
211546_x_at	2.40E-07	5.87E-09	-6.5683495	10.241189	-2.2586818	SNCA	synuclein alpha
206569_at	2.55E-05	1.66E-06	-5.2011034	4.787139	-2.25443148	IL24	interleukin 24
231229_at	6.89E-08	1.31E-09	-6.9182044	11.697233	-2.25334532	HILS1	"histone linker H1 domain, spermatid-specific 1 (pseudogene)"
209170_s_at	6.11E-10	3.68E-12	-8.2646303	17.407557	-2.25224788	GPM6B	glycoprotein M6B
212094_at	1.49E-04	1.39E-05	-4.649436	2.745178	-2.25013055	PEG10	paternally expressed 10
226446_at	1.33E-08	1.81E-10	-7.3744655	13.618265	-2.23850403	HES6	hes family bHLH transcription factor 6
219042_at	6.98E-08	1.33E-09	-6.9148987	11.683397	-2.23265428	LZTS1	leucine zipper tumor suppressor 1
216877_at	1.06E-04	9.32E-06	-4.7558645	3.129945	-2.23068609	LOC100505498	uncharacterized LOC100505498
222877_at	7.44E-09	8.71E-11	-7.5424563	14.330255	-2.22291913	NRP2	neuropilin 2
235758_at	1.40E-05	7.90E-07	-5.3869711	5.499459	-2.22176582	PNMA6A	paraneoplastic Ma antigen family member 6A
1553614_a_at	6.44E-04	8.09E-05	-4.1694033	1.07188	-2.21949823	LINC01198	long intergenic non-protein coding RNA 1198
243363_at	4.99E-06	2.26E-07	-5.6956729	6.705748	-2.21625577	LEF1-AS1	LEF1 antisense RNA 1
205710_at	8.41E-04	1.12E-04	-4.0779866	0.765714	-2.2126576	LRP2	LDL receptor related protein 2
215081_at	1.79E-08	2.58E-10	-7.2934814	13.275819	-2.21102321	KIAA1024	KIAA1024
239116_at	1.42E-08	1.96E-10	-7.3568468	13.543716	-2.20948659	ANKRD10	ankyrin repeat domain 10
219312_s_at	2.10E-08	3.14E-10	-7.2478876	13.083273	-2.20387597	ZBTB10	zinc finger and BTB domain containing 10
235944_at	3.60E-10	1.93E-12	-8.4117801	18.036208	-2.20348439	HMCN1	hemicentin 1
204527_at	7.15E-10	4.58E-12	-8.2149003	17.195147	-2.19963357	MYO5A	myosin VA
