ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	test
205226_at	1.06E-66	1.76E-69	34.64304689	148.1562563	4.560953398	PDGFRL	platelet derived growth factor receptor like	TRUE
209894_at	1.14E-66	1.93E-69	34.61664362	148.0631851	5.718103304	LEPROT///LEPR	leptin receptor overlapping transcript///leptin receptor	TRUE
210756_s_at	1.55E-66	2.69E-69	34.52291216	147.7323149	3.987221871	NOTCH2	notch 2	TRUE
203824_at	3.43E-66	6.11E-69	34.2925722	146.9161047	6.171707161	TSPAN8	tetraspanin 8	TRUE
202444_s_at	9.09E-66	1.66E-68	34.01407033	145.9232739	3.148684161	ERLIN1	ER lipid raft associated 1	TRUE
205082_s_at	1.26E-65	2.35E-68	33.91657042	145.5741434	3.349358988	AOX1	aldehyde oxidase 1	TRUE
202350_s_at	1.97E-65	3.75E-68	33.78758462	145.1110214	5.186275654	LOC100506558///MATN2	uncharacterized LOC100506558///matrilin 2	TRUE
203242_s_at	2.02E-65	4.02E-68	33.76773973	145.0396422	3.892980333	PDLIM5	PDZ and LIM domain 5	TRUE
1558080_s_at	2.02E-65	3.96E-68	33.7723719	145.0563065	5.397967034	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3	TRUE
207542_s_at	2.23E-65	4.53E-68	33.73519902	144.9225249	4.570068099	AQP1	aquaporin 1 (Colton blood group)	TRUE
205382_s_at	3.31E-65	6.86E-68	33.62045115	144.5088096	5.949139596	CFD	complement factor D	TRUE
1555097_a_at	6.17E-65	1.31E-67	33.44181461	143.862487	3.936593596	PTGFR	prostaglandin F receptor	TRUE
206421_s_at	6.17E-65	1.33E-67	33.43806795	143.8489017	6.386619384	SERPINB7	serpin family B member 7	TRUE
1556427_s_at	1.19E-64	2.61E-67	33.25360637	143.178536	4.481912307	LRRN4CL	LRRN4 C-terminal like	TRUE
206642_at	1.19E-64	2.65E-67	33.24876383	143.1608974	7.933122813	DSG1	desmoglein 1	TRUE
205018_s_at	1.45E-64	3.30E-67	33.18900938	142.943077	4.159814587	MBNL2	muscleblind like splicing regulator 2	TRUE
211356_x_at	1.53E-64	3.56E-67	33.16873759	142.8691101	4.053238393	LEPROT///LEPR	leptin receptor overlapping transcript///leptin receptor	TRUE
205363_at	1.58E-64	3.73E-67	33.15595328	142.8224446	5.692674402	BBOX1	gamma-butyrobetaine hydroxylase 1	TRUE
209602_s_at	3.33E-64	7.99E-67	32.94833263	142.0625723	5.798137615	GATA3	GATA binding protein 3	TRUE
205338_s_at	4.59E-64	1.12E-66	32.85640455	141.7249079	5.340175149	DCT	dopachrome tautomerase	TRUE
209603_at	4.72E-64	1.17E-66	32.84423096	141.6801365	3.693417795	GATA3	GATA binding protein 3	TRUE
210084_x_at	5.27E-64	1.33E-66	32.80994	141.5539521	5.981966127	TPSAB1	tryptase alpha/beta 1	TRUE
208609_s_at	5.83E-64	1.50E-66	32.77829067	141.4373956	4.972915627	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)	TRUE
206227_at	1.00E-63	2.61E-66	32.62760718	140.8812418	4.898225742	CILP	cartilage intermediate layer protein	TRUE
203851_at	1.17E-63	3.10E-66	32.58167535	140.7113094	4.227697984	IGFBP6	insulin like growth factor binding protein 6	TRUE
206149_at	1.85E-63	4.97E-66	32.45493225	140.24142	5.024313753	CHP2	calcineurin like EF-hand protein 2	TRUE
206726_at	2.84E-63	7.77E-66	32.33508075	139.795749	4.168229917	HPGDS	hematopoietic prostaglandin D synthase	TRUE
207908_at	3.20E-63	8.89E-66	32.29906715	139.6615776	8.419262259	KRT2	keratin 2	TRUE
211354_s_at	3.90E-63	1.10E-65	32.24246357	139.4504591	3.906978104	LEPROT///LEPR	leptin receptor overlapping transcript///leptin receptor	TRUE
205030_at	4.32E-63	1.23E-65	32.21138379	139.3344148	6.097544256	FABP7	fatty acid binding protein 7	TRUE
214533_at	6.11E-63	1.77E-65	32.1148143	138.9732868	4.129234867	CMA1	chymase 1	TRUE
205442_at	6.12E-63	1.80E-65	32.11070616	138.9579053	5.35162604	MFAP3L	microfibrillar associated protein 3 like	TRUE
212196_at	1.34E-62	4.01E-65	31.89831308	138.1605678	4.003797539	IL6ST	interleukin 6 signal transducer	TRUE
203951_at	2.06E-62	6.23E-65	31.78163574	137.7207887	3.533277892	CNN1	calponin 1	TRUE
1554062_at	3.96E-62	1.21E-64	31.60564261	137.0550545	4.982063089	XG	Xg blood group	TRUE
201008_s_at	7.06E-62	2.19E-64	31.45059576	136.4661669	4.19168923	TXNIP	thioredoxin interacting protein	TRUE
209616_s_at	7.69E-62	2.42E-64	31.42462437	136.3673046	4.215532076	LOC100653057///CES1	liver carboxylesterase 1-like///carboxylesterase 1	TRUE
206427_s_at	8.13E-62	2.59E-64	31.40660654	136.298681	4.171183527	MLANA	melan-A	TRUE
213456_at	9.23E-62	2.98E-64	31.36998058	136.1590919	4.434223483	SOSTDC1	sclerostin domain containing 1	TRUE
209098_s_at	1.07E-61	3.49E-64	31.32846355	136.0007095	3.344117449	JAG1	jagged 1	TRUE
1553072_at	1.17E-61	3.88E-64	31.30135632	135.8972113	3.369751814	BNIPL	BCL2 interacting protein like	TRUE
203963_at	1.66E-61	5.59E-64	31.20590536	135.5322187	5.641139604	CA12	carbonic anhydrase 12	TRUE
206378_at	1.66E-61	5.64E-64	31.20351921	135.5230834	8.25458006	SCGB2A2	secretoglobin family 2A member 2	TRUE
211547_s_at	1.90E-61	6.59E-64	31.16296422	135.3677366	3.201265735	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1	TRUE
204614_at	1.90E-61	6.59E-64	31.16304733	135.3680551	5.617778057	SERPINB2	serpin family B member 2	TRUE
1553960_at	1.90E-61	6.69E-64	31.1590388	135.352692	4.223612339	SNX21	sorting nexin family member 21	TRUE
1554757_a_at	2.08E-61	7.50E-64	31.12936208	135.2389051	2.903998346	INPP5A	inositol polyphosphate-5-phosphatase A	TRUE
207177_at	2.08E-61	7.44E-64	31.1316889	135.2478296	4.203670042	PTGFR	prostaglandin F receptor	TRUE
211681_s_at	2.65E-61	9.66E-64	31.06378001	134.9871533	2.719966574	PDLIM5	PDZ and LIM domain 5	TRUE
201983_s_at	3.05E-61	1.12E-63	31.02433195	134.8355262	5.963148272	EGFR	epidermal growth factor receptor	TRUE
205440_s_at	3.22E-61	1.20E-63	31.00737454	134.7703013	3.820366548	NPY1R	neuropeptide Y receptor Y1	TRUE
205158_at	4.70E-61	1.77E-63	30.90665966	134.3823474	5.390008773	RNASE4	ribonuclease A family member 4	TRUE
211002_s_at	7.86E-61	2.99E-63	30.77116837	133.8589055	5.005046102	TRIM29	tripartite motif containing 29	TRUE
207114_at	8.15E-61	3.14E-63	30.75874559	133.8108246	4.64069101	LY6G6C	"lymphocyte antigen 6 complex, locus G6C"	TRUE
206113_s_at	9.46E-61	3.68E-63	30.71768459	133.6517975	2.985377766	RAB5A	"RAB5A, member RAS oncogene family"	TRUE
205141_at	1.02E-60	4.00E-63	30.69672263	133.5705504	3.200632079	ANG	angiogenin	TRUE
1553694_a_at	1.04E-60	4.12E-63	30.68886383	133.5400793	3.172603554	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	TRUE
211922_s_at	1.09E-60	4.37E-63	30.67357204	133.4807711	3.466200899	CAT	catalase	TRUE
214007_s_at	1.95E-60	7.90E-63	30.52171242	132.8905687	3.396528536	TWF1	twinfilin actin binding protein 1	TRUE
204940_at	1.98E-60	8.11E-63	30.51505722	132.8646522	3.761543918	PLN	phospholamban	TRUE
207109_at	2.03E-60	8.41E-63	30.50569394	132.8281827	4.544457362	POU2F3	POU class 2 homeobox 3	TRUE
1553946_at	4.89E-60	2.04E-62	30.27885937	131.9420703	9.074573488	DCD	dermcidin	TRUE
205694_at	5.68E-60	2.40E-62	30.2383222	131.7831861	7.125038142	TYRP1	tyrosinase related protein 1	TRUE
211355_x_at	5.88E-60	2.51E-62	30.22692687	131.7384935	3.962918884	LEPROT///LEPR	leptin receptor overlapping transcript///leptin receptor	TRUE
1554897_s_at	6.09E-60	2.62E-62	30.21568478	131.6943895	3.021353852	RHBDL2	rhomboid like 2	TRUE
208653_s_at	6.85E-60	2.98E-62	30.18307613	131.5663918	4.214919343	CD164	CD164 molecule	TRUE
207549_x_at	8.93E-60	3.92E-62	30.11344712	131.2927297	3.230747061	CD46	CD46 molecule	TRUE
206429_at	9.21E-60	4.12E-62	30.10097535	131.2436618	3.308911784	F2RL1	F2R like trypsin receptor 1	TRUE
214279_s_at	9.21E-60	4.10E-62	30.10219707	131.2484691	4.384983466	NDRG2	NDRG family member 2	TRUE
205683_x_at	1.07E-59	4.83E-62	30.0605017	131.0843199	5.531258249	TPSAB1	tryptase alpha/beta 1	TRUE
206605_at	1.11E-59	5.08E-62	30.04757795	131.033406	3.967868367	ENDOU	"endonuclease, poly(U) specific"	TRUE
214321_at	1.11E-59	5.05E-62	30.04912938	131.0395188	4.263246373	NOV	nephroblastoma overexpressed	TRUE
201539_s_at	1.38E-59	6.42E-62	29.98846145	130.8003028	4.571463386	FHL1	four and a half LIM domains 1	TRUE
203913_s_at	1.52E-59	7.11E-62	29.96279242	130.6989793	4.532309992	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	TRUE
1553929_at	1.90E-59	8.95E-62	29.90467161	130.4693179	3.713976297	ACER1	alkaline ceramidase 1	TRUE
214536_at	2.09E-59	9.97E-62	29.87726885	130.3609211	5.733152614	SLURP1	secreted LY6/PLAUR domain containing 1	TRUE
1569410_at	2.19E-59	1.05E-61	29.8632696	130.3055157	8.487062641	FLG2	filaggrin family member 2	TRUE
207134_x_at	3.19E-59	1.55E-61	29.76667648	129.9226942	5.636485633	TPSB2	tryptase beta 2 (gene/pseudogene)	TRUE
200671_s_at	4.88E-59	2.38E-61	29.65830433	129.4920827	2.965996585	SPTBN1	"spectrin beta, non-erythrocytic 1"	TRUE
206193_s_at	5.08E-59	2.50E-61	29.64593194	129.442847	5.691041825	CDSN	corneodesmosin	TRUE
211401_s_at	5.31E-59	2.64E-61	29.63248167	129.3893045	2.869567498	FGFR2	fibroblast growth factor receptor 2	TRUE
201843_s_at	5.70E-59	2.86E-61	29.61291842	129.3113952	4.622617298	EFEMP1	EGF containing fibulin like extracellular matrix protein 1	TRUE
202995_s_at	8.77E-59	4.43E-61	29.50297265	128.8728298	5.444945286	FBLN1	fibulin 1	TRUE
204223_at	9.38E-59	4.78E-61	29.48416814	128.7976983	4.039272321	PRELP	proline and arginine rich end leucine rich repeat protein	TRUE
209633_at	1.18E-58	6.08E-61	29.42386826	128.5565363	3.450465084	PPP2R3A	protein phosphatase 2 regulatory subunit B''alpha	TRUE
205490_x_at	1.82E-58	9.47E-61	29.31356079	128.1144249	4.069407407	GJB3	gap junction protein beta 3	TRUE
208131_s_at	1.82E-58	9.43E-61	29.314843	128.119571	4.439475275	PTGIS	prostaglandin I2 (prostacyclin) synthase	TRUE
213568_at	1.89E-58	9.94E-61	29.30174226	128.0669833	4.077053453	OSR2	odd-skipped related transciption factor 2	TRUE
206004_at	2.62E-58	1.39E-60	29.21873665	127.7333855	4.178265486	TGM3	transglutaminase 3	TRUE
210716_s_at	2.87E-58	1.54E-60	29.19360744	127.6322536	3.693305026	CLIP1	CAP-Gly domain containing linker protein 1	TRUE
1559954_s_at	3.28E-58	1.77E-60	29.15869838	127.4916565	3.583230814	DDX42	DEAD-box helicase 42	TRUE
205200_at	4.49E-58	2.44E-60	29.07933502	127.1715563	5.518188178	EXOSC7///CLEC3B	exosome component 7///C-type lectin domain family 3 member B	TRUE
204038_s_at	4.68E-58	2.56E-60	29.06707021	127.1220306	3.542431989	LPAR1	lysophosphatidic acid receptor 1	TRUE
1564333_a_at	9.74E-58	5.36E-60	28.88472173	126.3838852	4.383119478	PSAPL1	prosaposin-like 1 (gene/pseudogene)	TRUE
204235_s_at	1.17E-57	6.49E-60	28.83787932	126.1937161	3.961884205	GULP1	"GULP, engulfment adaptor PTB domain containing 1"	TRUE
202036_s_at	1.37E-57	7.68E-60	28.79649443	126.025515	4.114942089	SFRP1	secreted frizzled related protein 1	TRUE
211653_x_at	1.80E-57	1.02E-59	28.72776005	125.7457664	4.657144571	LOC101930400///AKR1C2	"aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2"	TRUE
206295_at	2.24E-57	1.27E-59	28.67350129	125.5245884	5.18978096	IL18	interleukin 18	TRUE
204058_at	2.46E-57	1.41E-59	28.64843952	125.4223247	4.595940722	ME1	malic enzyme 1	TRUE
210325_at	2.65E-57	1.53E-59	28.62845624	125.3407369	4.082919449	CD1A	CD1a molecule	TRUE
210148_at	3.96E-57	2.30E-59	28.52856088	124.9322615	2.803454518	HIPK3	homeodomain interacting protein kinase 3	TRUE
206166_s_at	6.23E-57	3.64E-59	28.41664957	124.4734173	5.010677021	CLCA2	chloride channel accessory 2	TRUE
1556793_a_at	6.65E-57	3.91E-59	28.39893375	124.4006613	4.986671669	FAM83C	family with sequence similarity 83 member C	TRUE
204508_s_at	6.67E-57	3.95E-59	28.39659168	124.3910403	4.5322372	CA12	carbonic anhydrase 12	TRUE
203812_at	7.63E-57	4.55E-59	28.36221152	124.2497442	3.162002254	SLIT3	slit guidance ligand 3	TRUE
201818_at	9.57E-57	5.75E-59	-28.30549081	124.0163617	-2.501760996	LPCAT1	lysophosphatidylcholine acyltransferase 1	TRUE
201211_s_at	9.61E-57	5.81E-59	28.30277111	124.0051628	2.313216486	DDX3X	"DEAD-box helicase 3, X-linked"	TRUE
206192_at	1.03E-56	6.26E-59	28.28494207	123.9317287	5.47752797	CDSN	corneodesmosin	TRUE
204636_at	1.28E-56	7.84E-59	28.23017048	123.705927	4.517997793	COL17A1	collagen type XVII alpha 1 chain	TRUE
206156_at	1.78E-56	1.10E-58	28.14933818	123.37211	3.608807463	GJB5	gap junction protein beta 5	TRUE
205907_s_at	2.37E-56	1.47E-58	28.07781486	123.0761614	4.362935177	OMD	osteomodulin	TRUE
205908_s_at	2.49E-56	1.56E-58	28.06425504	123.0199926	4.120646921	OMD	osteomodulin	TRUE
204719_at	2.53E-56	1.59E-58	28.05926379	122.9993125	5.326177183	ABCA8	ATP binding cassette subfamily A member 8	TRUE
203088_at	2.70E-56	1.71E-58	28.04187871	122.9272607	3.999329654	FBLN5	fibulin 5	TRUE
213929_at	2.74E-56	1.75E-58	28.03668315	122.9057217	4.726542463	EXPH5	exophilin 5	TRUE
209368_at	3.27E-56	2.10E-58	27.99243403	122.722164	3.553872871	EPHX2	epoxide hydrolase 2	TRUE
201151_s_at	3.37E-56	2.18E-58	27.9836797	122.685824	4.417928392	MBNL1	muscleblind like splicing regulator 1	TRUE
212226_s_at	3.48E-56	2.26E-58	27.97443167	122.6474257	4.897436629	PLPP3	phospholipid phosphatase 3	TRUE
209160_at	3.68E-56	2.41E-58	27.95949706	122.5853973	4.64293535	AKR1C3	"aldo-keto reductase family 1, member C3"	TRUE
205438_at	4.82E-56	3.17E-58	27.89345385	122.3108134	3.107939735	PTPN21	"protein tyrosine phosphatase, non-receptor type 21"	TRUE
206033_s_at	5.46E-56	3.62E-58	27.86205121	122.1800896	7.00910103	DSC3	desmocollin 3	TRUE
201337_s_at	6.00E-56	4.00E-58	27.837922	122.0795724	3.977569806	VAMP3	vesicle associated membrane protein 3	TRUE
211195_s_at	6.31E-56	4.24E-58	27.82406043	122.0217999	3.136557799	TP63	tumor protein p63	TRUE
1552478_a_at	8.23E-56	5.55E-58	27.75919336	121.7511728	3.431918019	IRF6	interferon regulatory factor 6	TRUE
202994_s_at	9.80E-56	6.66E-58	27.71589369	121.5702749	4.14266012	FBLN1	fibulin 1	TRUE
213895_at	1.34E-55	9.21E-58	27.63835655	121.2458368	2.843044155	EMP1	epithelial membrane protein 1	TRUE
203074_at	1.34E-55	9.18E-58	27.6391055	121.2489737	5.220137668	ANXA8L1///ANXA8	annexin A8-like 1///annexin A8	TRUE
1566472_s_at	1.38E-55	9.57E-58	27.62918223	121.207406	3.642863864	LOC100996506///RETSAT	uncharacterized LOC100996506///retinol saturase	TRUE
1560531_at	1.54E-55	1.07E-57	27.60292454	121.0973639	5.962347989	LCE1B	late cornified envelope 1B	TRUE
211864_s_at	1.66E-55	1.16E-57	27.58359151	121.0162945	4.210073216	MYOF	myoferlin	TRUE
208853_s_at	1.83E-55	1.29E-57	27.55861852	120.9115155	2.867340597	CANX	calnexin	TRUE
204456_s_at	1.87E-55	1.33E-57	27.55151505	120.8816992	3.291157933	GAS1	growth arrest specific 1	TRUE
204560_at	2.91E-55	2.08E-57	27.44510512	120.4343999	2.860993107	FKBP5	FK506 binding protein 5	TRUE
207023_x_at	3.07E-55	2.20E-57	27.43130489	120.3763003	4.625282254	KRT10	keratin 10	TRUE
208228_s_at	3.29E-55	2.37E-57	27.41340078	120.3008925	3.353627737	FGFR2	fibroblast growth factor receptor 2	TRUE
212240_s_at	4.74E-55	3.43E-57	27.32603198	119.9324174	3.67222474	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	TRUE
208016_s_at	5.11E-55	3.73E-57	27.30654064	119.8501002	3.76187038	AGTR1	angiotensin II receptor type 1	TRUE
205792_at	5.15E-55	3.78E-57	27.30330119	119.8364152	5.592194437	WISP2	WNT1 inducible signaling pathway protein 2	TRUE
203641_s_at	5.18E-55	3.82E-57	27.30097017	119.8265671	2.437218614	COBLL1	cordon-bleu WH2 repeat protein like 1	TRUE
205498_at	6.00E-55	4.45E-57	27.26469435	119.6732326	3.516579844	GHR	growth hormone receptor	TRUE
205407_at	6.33E-55	4.72E-57	27.25081068	119.6145097	4.476615529	RECK	reversion inducing cysteine rich protein with kazal motifs	TRUE
207782_s_at	6.57E-55	4.93E-57	27.24067674	119.5716336	2.93691346	PSEN1	presenilin 1	TRUE
1561530_at	7.20E-55	5.43E-57	27.21763669	119.4741107	3.749471203	LOC101927164	uncharacterized LOC101927164	TRUE
211548_s_at	8.26E-55	6.26E-57	27.18407879	119.331965	4.675402007	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	TRUE
203813_s_at	1.00E-54	7.64E-57	27.1371588	119.1330134	3.372196419	SLIT3	slit guidance ligand 3	TRUE
211574_s_at	1.13E-54	8.64E-57	27.10827857	119.0104348	2.640462036	CD46	CD46 molecule	TRUE
207808_s_at	1.52E-54	1.17E-56	27.03753486	118.7097862	4.353382965	PROS1	protein S (alpha)	TRUE
213342_at	1.87E-54	1.46E-56	26.98511451	118.4866547	3.471140401	YAP1	Yes associated protein 1	TRUE
213764_s_at	2.10E-54	1.65E-56	26.95693977	118.3666018	6.01688655	MFAP5	microfibrillar associated protein 5	TRUE
1557411_s_at	2.15E-54	1.69E-56	26.95052959	118.3392758	4.027733821	SLC25A43	solute carrier family 25 member 43	TRUE
1555594_a_at	2.20E-54	1.74E-56	26.94379783	118.310574	3.065971972	MBNL1	muscleblind like splicing regulator 1	TRUE
1555326_a_at	2.22E-54	1.77E-56	26.94054438	118.2967007	2.81541244	ADAM9	ADAM metallopeptidase domain 9	TRUE
210298_x_at	2.57E-54	2.05E-56	26.90528192	118.1462603	4.183186803	FHL1	four and a half LIM domains 1	TRUE
214475_x_at	2.64E-54	2.12E-56	26.89769459	118.1138726	2.913777195	CAPN3	calpain 3	TRUE
201497_x_at	2.70E-54	2.18E-56	26.8914041	118.0870158	4.522228901	MYH11	myosin heavy chain 11	TRUE
206032_at	3.93E-54	3.19E-56	26.80212839	117.7053888	6.312853511	DSC3	desmocollin 3	TRUE
213272_s_at	3.97E-54	3.24E-56	26.79861827	117.690366	3.04247187	TMEM159	transmembrane protein 159	TRUE
206595_at	4.04E-54	3.31E-56	26.79353922	117.6686262	7.436347606	CST6	cystatin E/M	TRUE
1555240_s_at	7.17E-54	5.91E-56	26.65840118	117.0891454	4.36155213	GNG12	G protein subunit gamma 12	TRUE
212249_at	9.15E-54	7.58E-56	26.60062382	116.8407737	4.24486675	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	TRUE
204037_at	9.30E-54	7.74E-56	26.59582597	116.8201321	3.332793183	LPAR1	lysophosphatidic acid receptor 1	TRUE
205197_s_at	1.00E-53	8.40E-56	26.57688687	116.7386263	3.001912102	ATP7A	ATPase copper transporting alpha	TRUE
1555716_a_at	1.32E-53	1.11E-55	26.51199641	116.4590623	3.25021009	CXADR	coxsackie virus and adenovirus receptor	TRUE
214483_s_at	1.67E-53	1.41E-55	26.45662423	116.2201339	2.625772302	ARFIP1	ADP ribosylation factor interacting protein 1	TRUE
1554397_s_at	1.74E-53	1.48E-55	26.4459083	116.1738555	2.953315147	UEVLD	UEV and lactate/malate dehyrogenase domains	TRUE
204059_s_at	1.88E-53	1.60E-55	26.42681514	116.091367	4.472153178	ME1	malic enzyme 1	TRUE
212377_s_at	2.16E-53	1.85E-55	26.39367308	115.9480859	3.088267114	NOTCH2	notch 2	TRUE
207720_at	2.19E-53	1.89E-55	26.38953794	115.9302001	7.895598302	LOR	loricrin	TRUE
203788_s_at	2.48E-53	2.15E-55	26.35950339	115.8002333	2.908196191	SEMA3C	semaphorin 3C	TRUE
1552610_a_at	2.81E-53	2.44E-55	26.32988377	115.671963	3.001746759	JAK1	Janus kinase 1	TRUE
204942_s_at	2.96E-53	2.59E-55	26.31646838	115.613834	4.936263889	ALDH3B2	aldehyde dehydrogenase 3 family member B2	TRUE
1554195_a_at	3.93E-53	3.45E-55	26.25044252	115.327449	5.086748542	C5orf46	chromosome 5 open reading frame 46	TRUE
214628_at	4.35E-53	3.84E-55	-26.22558624	115.2195086	-4.349673558	NHLH1	nescient helix-loop-helix 1	TRUE
204188_s_at	4.59E-53	4.07E-55	26.212432	115.1623571	3.662410585	RARG	retinoic acid receptor gamma	TRUE
214786_at	4.76E-53	4.24E-55	26.20286699	115.1207875	2.666928086	MAP3K1	mitogen-activated protein kinase kinase kinase 1	TRUE
203888_at	8.48E-53	7.58E-55	26.06948355	114.5400268	3.749914801	THBD	thrombomodulin	TRUE
206104_at	1.03E-52	9.26E-55	-26.02359494	114.3397593	-5.837803701	ISL1	ISL LIM homeobox 1	TRUE
204712_at	1.11E-52	1.00E-54	26.00585857	114.2622902	5.138870433	WIF1	WNT inhibitory factor 1	TRUE
214505_s_at	1.16E-52	1.05E-54	25.99506896	114.2151457	3.68118026	FHL1	four and a half LIM domains 1	TRUE
209348_s_at	1.41E-52	1.28E-54	25.94953751	114.0160537	4.490489703	MAF	MAF bZIP transcription factor	TRUE
212409_s_at	1.75E-52	1.61E-54	25.89766604	113.7889519	2.68606455	TOR1AIP1	torsin 1A interacting protein 1	TRUE
207961_x_at	1.75E-52	1.60E-54	25.89848667	113.7925472	3.949082763	MYH11	myosin heavy chain 11	TRUE
206509_at	1.81E-52	1.67E-54	25.88898717	113.7509245	7.13522982	PIP	prolactin induced protein	TRUE
